"family","n","pieces","boxes","deepest_box","agents","agents_in_coalitions","run1_seconds","run2_seconds","run3_seconds","median_runtime_seconds"
"nestingBox","11","14","11","11","2","11","8,55E-05","4,51E-05","4,3700000000000005E-05","4,51E-05"
"nestingBox","12","15","12","12","2","12","3,33E-05","5,0299999999999996E-05","4,5199999999999994E-05","4,5199999999999994E-05"
"nestingBox","13","16","13","13","2","13","4,29E-05","8,07E-05","4,77E-05","4,77E-05"
"nestingBox","14","17","14","14","2","14","4,31E-05","4,2999999999999995E-05","4,8599999999999995E-05","4,31E-05"
"nestingBox","15","18","15","15","2","15","4,51E-05","4,55E-05","4,99E-05","4,55E-05"
"nestingBox","16","19","16","16","2","16","8,63E-05","4,02E-05","5,5100000000000004E-05","5,5100000000000004E-05"
"nestingBox","17","20","17","17","2","17","5,18E-05","4,22E-05","4,53E-05","4,53E-05"
"nestingBox","18","21","18","18","2","18","7,46E-05","5,6800000000000005E-05","4,99E-05","5,6800000000000005E-05"
"nestingBox","19","22","19","19","2","19","4,4200000000000004E-05","5,43E-05","4,6399999999999996E-05","4,6399999999999996E-05"
"nestingBox","20","23","20","20","2","20","3,7E-05","3,63E-05","5,0900000000000004E-05","3,7E-05"
"outcomeMonotonicity","2","7","2","1","2","2","4,2000000000000004E-05","8,24E-05","8E-05","8E-05"
"outcomeMonotonicity","3","9","2","1","2","2","7,879999999999999E-05","4,79E-05","6,560000000000001E-05","6,560000000000001E-05"
"outcomeMonotonicity","4","11","2","1","2","2","4,91E-05","5,9999999999999995E-05","5,22E-05","5,22E-05"
"outcomeMonotonicity","5","13","2","1","2","2","5,84E-05","0,0001111","5,2E-05","5,84E-05"
"outcomeMonotonicity","6","15","2","1","2","2","6,88E-05","5,67E-05","7,489999999999999E-05","6,88E-05"
"outcomeMonotonicity","7","17","2","1","2","2","8,1E-05","5,6800000000000005E-05","7,51E-05","7,51E-05"
"outcomeMonotonicity","8","19","2","1","2","2","0,0001139","0,0001232","8,92E-05","0,0001139"
"outcomeMonotonicity","9","21","2","1","2","2","0,000128","0,0001103","6,3E-05","0,0001103"
"outcomeMonotonicity","10","23","2","1","2","2","6,99E-05","7,02E-05","0,0001012","7,02E-05"
"outcomeMonotonicity","11","25","2","1","2","2","0,000106","9,86E-05","7,230000000000001E-05","9,86E-05"
"outcomeMonotonicity","12","27","2","1","2","2","0,00019539999999999998","0,0002418","0,0001371","0,00019539999999999998"
