family,n,run,pieces,boxes,deepest_box,agents,agents-in-coalitions,expected,valid,genz,agreement,timeout,runtime,status
superadditivityprime,8,2,40,9,1,8,15,False,True,False,True,100,1.8154,Completed
superadditivityprime,8,3,40,9,1,8,15,False,True,False,True,100,1.788,Completed
superadditivityprime,9,1,45,10,1,9,17,False,True,False,True,100,3.5502,Completed
superadditivityprime,9,2,45,10,1,9,17,False,True,False,True,100,2.4822,Completed
superadditivityprime,9,3,45,10,1,9,17,False,True,False,True,100,2.6661,Completed
superadditivityprime,10,1,50,11,1,10,19,False,True,False,True,100,5.3417,Completed
superadditivityprime,10,2,50,11,1,10,19,False,True,False,True,100,5.3667,Completed
superadditivityprime,10,3,50,11,1,10,19,False,True,False,True,100,5.3015,Completed
superadditivityprime,11,1,55,12,1,11,21,False,True,False,True,100,18.3785,Completed
superadditivityprime,11,2,55,12,1,11,21,False,True,False,True,100,11.9535,Completed
superadditivityprime,11,3,55,12,1,11,21,False,True,False,True,100,11.462,Completed
superadditivityprime,12,1,60,13,1,12,23,False,True,False,True,100,25.847,Completed
superadditivityprime,12,2,60,13,1,12,23,False,True,False,True,100,26.7128,Completed
superadditivityprime,12,3,60,13,1,12,23,False,True,False,True,100,26.7267,Completed
superadditivityprime,13,1,65,14,1,13,25,False,True,False,True,100,60.5976,Completed
superadditivityprime,13,2,65,14,1,13,25,False,True,False,True,100,60.2165,Completed
superadditivityprime,13,3,65,14,1,13,25,False,True,False,True,100,58.3761,Completed
superadditivityprime,14,1,70,15,1,14,27,False,True,False,True,100,125.7018,Completed
superadditivityprime,14,2,70,15,1,14,27,False,True,False,True,100,127.7509,Completed
superadditivityprime,14,3,70,15,1,14,27,False,True,False,True,100,128.6649,Completed
superadditivityprime,15,1,75,16,1,15,29,False,True,False,True,100,285.3418,Completed
superadditivityprime,15,2,75,16,1,15,29,False,True,False,True,100,291.0669,Completed
superadditivityprime,15,3,75,16,1,15,29,False,True,False,True,100,281.0966,Completed
superadditivityprime,16,1,80,17,1,16,31,False,True,False,True,100,681.8194,Completed
superadditivityprime,16,2,80,17,1,16,31,False,True,False,True,100,656.1107,Completed
superadditivityprime,16,3,80,17,1,16,31,False,True,False,True,100,611.5291,Completed
superadditivityprime,17,1,85,18,1,17,33,False,True,False,True,100,1321.0706,Completed
superadditivityprime,17,2,85,18,1,17,33,False,True,False,True,100,1379.7553,Completed
superadditivityprime,17,3,85,18,1,17,33,False,True,False,True,100,1421.344,Completed
superadditivityprime,18,1,90,19,1,18,35,False,True,False,True,100,2949.0207,Completed
superadditivityprime,18,2,90,19,1,18,35,False,True,False,True,100,2982.3406,Completed
superadditivityprime,18,3,90,19,1,18,35,False,True,False,True,100,2963.8896,Completed
superadditivityprime,19,1,95,20,1,19,37,False,True,False,True,100,6460.0958,Completed
superadditivityprime,19,2,95,20,1,19,37,False,True,False,True,100,6287.6938,Completed
superadditivityprime,19,3,95,20,1,19,37,False,True,False,True,100,6344.7514,Completed
superadditivityprime,20,1,100,21,1,20,39,False,True,False,True,100,13569.4805,Completed
superadditivityprime,20,2,100,21,1,20,39,False,True,False,True,100,13549.9567,Completed
superadditivityprime,20,3,100,21,1,20,39,False,True,False,True,100,13657.553,Completed
superadditivityprime,21,1,105,22,1,21,41,False,True,False,True,100,29513.7422,Completed
superadditivityprime,21,2,105,22,1,21,41,False,True,False,True,100,29614.0775,Completed
superadditivityprime,21,3,105,22,1,21,41,False,True,False,True,100,30302.0733,Completed
outcomeMonotonicity,2,1,7,2,1,2,2,True,True,True,True,100,4.2e-2,Completed
outcomeMonotonicity,2,2,7,2,1,2,2,True,True,True,True,100,8.24e-2,Completed
outcomeMonotonicity,2,3,7,2,1,2,2,True,True,True,True,100,8.0e-2,Completed
outcomeMonotonicity,3,1,9,2,1,2,2,True,True,True,True,100,7.88e-2,Completed
outcomeMonotonicity,3,2,9,2,1,2,2,True,True,True,True,100,4.79e-2,Completed
outcomeMonotonicity,3,3,9,2,1,2,2,True,True,True,True,100,6.56e-2,Completed
outcomeMonotonicity,4,1,11,2,1,2,2,True,True,True,True,100,4.91e-2,Completed
